Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,TotalDue,LoanAmountTerm,CreditHistory,PropertyArea,LoanStatus,Purpose,PaidMin,PaidHour,PaidDay,PaidMonth,DueMonth,DueDay,EffectiveDay
1,0,0,1,0,4000,2275,20000,23800,360.0,1,3,1,0,21,19,25,9,9,25,9
0,1,0,1,0,3208,3066,40000,44000,360.0,1,1,1,3,18,21,22,9,9,25,9
0,1,3,0,1,7100,0,10000,13000,60.0,1,1,1,1,5,22,14,9,9,17,9
0,0,0,1,0,4950,0,30000,34400,360.0,1,1,1,0,0,16,24,9,9,24,9
0,0,0,0,0,3748,1668,20000,24500,360.0,1,3,1,0,33,11,10,10,10,10,9
0,1,0,1,0,3500,1667,10000,13000,360.0,1,3,1,4,24,7,10,9,10,10,9
0,1,1,1,0,12841,10968,10000,11500,360.0,1,3,0,3,0,13,24,9,9,24,9
0,1,1,1,1,2395,0,10000,13000,360.0,0,3,1,0,53,14,13,9,9,17,9
0,1,2,1,0,2500,1840,10000,11500,360.0,0,1,1,4,0,16,10,9,9,10,9
0,1,0,1,0,5726,4595,10000,13000,360.0,1,3,0,6,0,23,25,9,9,25,9
0,0,0,0,0,3620,0,20000,21900,120.0,1,3,1,3,0,13,10,10,10,10,9
0,1,1,1,0,4166,3369,20000,24500,360.0,1,1,0,4,41,14,24,9,9,25,9
0,0,0,0,0,1442,0,10000,13000,360.0,1,1,0,0,17,19,22,9,10,10,9
0,1,0,1,0,5695,4167,10000,11500,360.0,0,3,1,6,33,20,24,9,9,25,9
0,1,2,1,1,5417,4196,20000,23800,360.0,0,1,1,1,45,13,9,9,9,15,9
1,0,0,1,0,3410,0,10000,13000,360.0,1,1,1,3,17,22,9,12,9,17,9
1,0,0,1,0,4300,0,30000,34400,360.0,1,3,0,0,27,13,24,9,10,10,9
0,1,0,1,0,2275,2067,10000,11500,360.0,1,1,1,0,0,9,25,9,9,25,9
0,0,1,0,0,3596,0,10000,11500,240.0,1,1,1,0,21,14,27,9,9,10,9
0,0,0,1,0,3500,0,20000,21900,300.0,1,3,1,7,0,16,10,10,10,10,9
0,0,4,1,0,12500,3000,20000,24500,360.0,1,0,0,2,49,21,25,9,9,25,9
0,1,4,1,0,3036,2504,20000,24500,360.0,1,3,0,3,33,20,10,5,8,10,9
0,1,2,1,0,2708,1167,20000,24500,360.0,1,3,1,3,0,16,25,9,9,25,9
0,1,2,0,0,4226,1040,20000,22250,360.0,1,1,1,0,21,8,23,9,9,24,9
0,1,0,1,0,2600,3500,10000,13000,360.0,1,1,1,0,42,7,23,9,9,10,9
1,0,0,1,0,3846,0,30000,34400,360.0,1,3,1,0,18,16,21,9,10,10,9
0,1,0,1,1,9560,0,20000,21900,360.0,1,3,1,2,18,12,29,9,9,10,9
0,1,2,1,0,4616,0,10000,11500,360.0,1,1,0,3,0,9,10,10,10,10,9
0,0,0,1,0,1853,2840,20000,21900,360.0,1,0,0,3,57,21,13,9,9,16,9
0,1,1,1,1,3717,2925,30000,34400,360.0,1,3,0,2,50,12,10,3,9,10,9
0,1,0,0,0,2583,2358,10000,11500,360.0,1,1,1,2,0,20,22,9,9,22,9
1,0,0,1,0,3510,0,30000,34400,360.0,0,1,0,4,49,18,23,9,9,24,9
0,0,0,1,0,4166,7210,30000,34500,360.0,1,1,1,5,0,9,25,9,9,25,9
